,Composition,Formula,e_above_hull,A_atom,P_atom,R_atom,n_A
183,Ca2 Mn4 Zn4 C24 N24,Ca2 Mn4 Zn4 C24 N24,0.40707926648206794,Ca,Zn,Mn,2.0
184,Li2 Cr4 Ni4 C24 N24,Li2 Cr4 Ni4 C24 N24,0.0028601699999999397,Li,Ni,Cr,2.0
185,,,,,,,
186,Mg2 Mn4 Os4 C24 N24,Mg2 Mn4 Os4 C24 N24,0.03918191000000015,Mg,Mn,Os,2.0
187,Sr2 V8 C24 N24,Sr2 V8 C24 N24,0.005491380000000046,Sr,V,V,2.0
188,Sr2 Fe4 Co4 C24 N24,Sr2 Fe4 Co4 C24 N24,0.005491380000000046,Sr,Fe,Co,2.0
189,Na2 Mn4 Fe4 C24 N24,Na2 Mn4 Fe4 C24 N24,0.12850119249999992,Na,Mn,Fe,2.0
190,Ca2 Cr4 Ni4 C24 N24,Ca2 Cr4 Ni4 C24 N24,0.4185173499999999,Ca,Ni,Cr,2.0
191,K2 V4 Cr4 C24 N24,K2 V4 Cr4 C24 N24,0.11553698000000001,K,V,Cr,2.0
192,Mg2 Fe4 Co4 C24 N24,Mg2 Fe4 Co4 C24 N24,0.03918191000000015,Mg,Co,Fe,2.0
193,Mg2 Fe8 C24 N24,Mg2 Fe8 C24 N24,0.03918191000000015,Mg,Fe,Fe,2.0
194,Na2 Zn4 Co4 C24 N24,Na2 Zn4 Co4 C24 N24,0.12850119249999992,Na,Zn,Co,2.0
195,Ca2 Cr4 Os4 C24 N24,Ca2 Cr4 Os4 C24 N24,0.1364135177055168,Ca,Cr,Os,2.0
196,Sr2 Zn4 Os4 C24 N24,Sr2 Zn4 Os4 C24 N24,0.005491380000000046,Sr,Zn,Os,2.0
197,Na2 Cr4 Fe4 C24 N24,Na2 Cr4 Fe4 C24 N24,0.12850119249999992,Na,Cr,Fe,2.0
198,Sr2 V4 Fe4 C24 N24,Sr2 V4 Fe4 C24 N24,0.005491380000000046,Sr,Fe,V,2.0
199,Na2 Mn4 Co4 C24 N24,Na2 Mn4 Co4 C24 N24,0.12850119249999992,Na,Co,Mn,2.0
200,,,,,,,
201,Mg2 Mn4 Zn4 C24 N24,Mg2 Mn4 Zn4 C24 N24,0.03918191000000015,Mg,Zn,Mn,2.0
202,,,,,,,
203,,,,,,,
204,Ca2 Fe4 Co4 C24 N24,Ca2 Fe4 Co4 C24 N24,0.25368749183517103,Ca,Fe,Co,2.0
205,Li2 Fe8 C24 N24,Li2 Fe8 C24 N24,0.0028601699999999397,Li,Fe,Fe,2.0
206,K2 V4 Co4 C24 N24,K2 V4 Co4 C24 N24,0.11553698000000001,K,Co,V,2.0
207,K2 Cr4 Fe4 C24 N24,K2 Cr4 Fe4 C24 N24,0.11553698000000001,K,Cr,Fe,2.0
208,Na2 V4 Fe4 C24 N24,Na2 V4 Fe4 C24 N24,0.12850119249999992,Na,V,Fe,2.0
209,Sr2 Mn4 Co4 C24 N24,Sr2 Mn4 Co4 C24 N24,0.005491380000000046,Sr,Mn,Co,2.0
210,K2 Fe4 Co4 C24 N24,K2 Fe4 Co4 C24 N24,0.11553698000000001,K,Fe,Co,2.0
211,,,,,,,
212,Li2 V4 Fe4 C24 N24,Li2 V4 Fe4 C24 N24,0.0028601699999999397,Li,V,Fe,2.0
213,Mg2 Mn4 V4 C24 N24,Mg2 Mn4 V4 C24 N24,0.03918191000000015,Mg,Mn,V,2.0
214,K2 V4 Co4 C24 N24,K2 V4 Co4 C24 N24,0.11553698000000001,K,V,Co,2.0
215,Ca2 Mn4 V4 C24 N24,Ca2 Mn4 V4 C24 N24,0.4185173499999999,Ca,Mn,V,2.0
216,,,,,,,
217,Mg2 V4 Co4 C24 N24,Mg2 V4 Co4 C24 N24,0.03918191000000015,Mg,V,Co,2.0
218,Sr2 Fe4 Os4 C24 N24,Sr2 Fe4 Os4 C24 N24,0.005491380000000046,Sr,Fe,Os,2.0
219,Ca2 V4 In4 C24 N24,Ca2 V4 In4 C24 N24,0.4185173499999999,Ca,In,V,2.0
220,Li2 Mn4 Fe4 C24 N24,Li2 Mn4 Fe4 C24 N24,0.0028601699999999397,Li,Fe,Mn,2.0
221,Na2 Fe8 C24 N24,Na2 Fe8 C24 N24,0.12850119249999992,Na,Fe,Fe,2.0
222,,,,,,,
223,Ca2 Co4 Ni4 C24 N24,Ca2 Co4 Ni4 C24 N24,0.3163258846567798,Ca,Ni,Co,2.0
224,Ca2 Cr4 In4 C24 N24,Ca2 Cr4 In4 C24 N24,0.41072775638758596,Ca,In,Cr,2.0
225,Na2 V8 C24 N24,Na2 V8 C24 N24,0.12850119249999992,Na,V,V,2.0
226,Sr2 V4 Os4 C24 N24,Sr2 V4 Os4 C24 N24,0.005491380000000046,Sr,V,Os,2.0
227,,,,,,,
228,K2 V4 Ni4 C24 N24,K2 V4 Ni4 C24 N24,0.11553698000000001,K,Ni,V,2.0
229,Li2 Mn4 Os4 C24 N24,Li2 Mn4 Os4 C24 N24,0.0028601699999999397,Li,Mn,Os,2.0
230,,,,,,,
231,Sr2 Co4 Ni4 C24 N24,Sr2 Co4 Ni4 C24 N24,0.005491380000000046,Sr,Ni,Co,2.0
232,,,,,,,
233,,,,,,,
234,K2 Cr4 Co4 C24 N24,K2 Cr4 Co4 C24 N24,0.11553698000000001,K,Cr,Co,2.0
235,Ca2 Zn4 Cr4 C24 N24,Ca2 Zn4 Cr4 C24 N24,0.4185173499999999,Ca,Zn,Cr,2.0
236,,,,,,,
237,Sr2 Fe4 Cu4 C24 N24,Sr2 Fe4 Cu4 C24 N24,0.005491380000000046,Sr,Cu,Fe,2.0
238,Li2 Co4 Os4 C24 N24,Li2 Co4 Os4 C24 N24,0.0028601699999999397,Li,Co,Os,2.0
239,Na2 V4 Cr4 C24 N24,Na2 V4 Cr4 C24 N24,0.12850119249999992,Na,Cr,V,2.0
240,,,,,,,
241,Mg2 Mn4 Cr4 C24 N24,Mg2 Mn4 Cr4 C24 N24,0.03918191000000015,Mg,Cr,Mn,2.0
242,,,,,,,
243,,,,,,,
244,Sr2 Mn4 Fe4 C24 N24,Sr2 Mn4 Fe4 C24 N24,0.005491380000000046,Sr,Fe,Mn,2.0
245,Na2 Cr4 Co4 C24 N24,Na2 Cr4 Co4 C24 N24,0.12850119249999992,Na,Cr,Co,2.0
246,,,,,,,
247,,,,,,,
248,,,,,,,
249,,,,,,,
250,,,,,,,
251,Sr2 Co8 C24 N24,Sr2 Co8 C24 N24,0.00549138000000049,Sr,Co,Co,2.0
252,,,,,,,
253,K2 Mn4 V4 C24 N24,K2 Mn4 V4 C24 N24,0.11553698000000001,K,V,Mn,2.0
254,,,,,,,
255,Li2 Mn8 C24 N24,Li2 Mn8 C24 N24,0.0028601699999999397,Li,Mn,Mn,2.0
256,,,,,,,
257,Mg2 Fe4 Os4 C24 N24,Mg2 Fe4 Os4 C24 N24,0.03918191000000015,Mg,Fe,Os,2.0
258,Li2 V4 Zn4 C24 N24,Li2 V4 Zn4 C24 N24,0.0028601699999999397,Li,Zn,V,2.0
259,Sr2 Mn4 Zn4 C24 N24,Sr2 Mn4 Zn4 C24 N24,0.005491380000000046,Sr,Zn,Mn,2.0
260,Ca2 Mn4 Cr4 C24 N24,Ca2 Mn4 Cr4 C24 N24,0.27506495338689696,Ca,Cr,Mn,2.0
